"facility","latitude","longitude","keph_level","county","subcounty","ward","facility_status","facility_type","facility_owner",".original_row",".remove_reason",".matched_county",".county_match"
"Gunana Dispensary",3.1725465,40.0954147,"Level 2","Wajir","Tarbaj","Sarman","open","Dispensary","Government/Public Entity",6064,"CSV county does not match spatial county","Mandera",FALSE
"Janju Dispensary",0.6918817,39.0746104,"Level 2","Garissa","Lagdera","Modogashe","open","Dispensary","Government/Public Entity",6067,"CSV county does not match spatial county","Isiolo",FALSE
"Marachi HealthCare Clinic",0.3612927,34.4017624,"Level 2","Busia","Butula","Marachi East","open","Medical Clinic","Private",6078,"CSV county does not match spatial county","Kakamega",FALSE
"Anderi Dispensary",2.2215164,36.8976706,"Level 2","Samburu","Samburu North","Nyiro","open","Dispensary","Government/Public Entity",6093,"CSV county does not match spatial county","Marsabit",FALSE
"Parkati Dispensary",2.2451263,36.6803377,"Level 2","Samburu","Samburu North","Nyiro","open","Dispensary","Government/Public Entity",6097,"CSV county does not match spatial county","Turkana",FALSE
"Tumaini Sondu Dice",-0.3907355,35.010181,"Level 2","Kisumu","Nyakach","South East Nyakach","open","other","Non-Governmental Organization",6192,"CSV county does not match spatial county","Homa Bay",FALSE
"Nimoli Medical Services",-1.2295035,36.9204824,"Level 2","Kiambu","Limuru","Ndeiya","open","Medical Center","Private",6232,"CSV county does not match spatial county","Nairobi",FALSE
"Barquqe Dispensary",0.6552641,39.0054615,"Level 2","Garissa","Lagdera","Modogashe","open","Dispensary","Government/Public Entity",6269,"CSV county does not match spatial county","Isiolo",FALSE
"Kanyoni Dispensary",-0.0312575,37.116522,"Level 2","Laikipia","Laikipia East","Nanyuki","open","Dispensary","Government/Public Entity",6299,"CSV county does not match spatial county","Nyeri",FALSE
"Olepolos Dispensary Narok North",-0.6667019,36.0149149,"Level 2","Narok","Narok North","Olorropil","open","Dispensary","Government/Public Entity",6305,"CSV county does not match spatial county","Nakuru",FALSE
"Creative Medical Services",-1.292066,36.821946,"Level 2","Kiambu","Kiambu Town","Township","open","Medical Center","Private",6338,"CSV county does not match spatial county","Nairobi",FALSE
"Thung'ari Dispensary",-0.2597738,36.989001,"Level 2","Nyeri","Kieni East","Thegu River","open","Dispensary","Government/Public Entity",6574,"CSV county does not match spatial county","Laikipia",FALSE
"Tumbura Dispensary",-0.0439502,37.9286198,"Level 2","Tharaka Nithi","Tharaka South","Nkondi","open","Dispensary","Government/Public Entity",6604,"CSV county does not match spatial county","Meru",FALSE
"Kapchebon Dispensary",0.9019676,34.7963647,"Level 2","Bungoma","Mt Elgon","Kaptama","open","Dispensary","Government/Public Entity",6911,"CSV county does not match spatial county","Trans Nzoia",FALSE
"Kapsigilai Dispensary",0.9703388,35.3393211,"Level 2","Trans Nzoia","Cherangany","Chepsiro/Kiptoror","open","Dispensary","Government/Public Entity",6965,"CSV county does not match spatial county","Elgeyo Marakwet",FALSE
"Smilestar Medical Services & Dental Care",-1.2037364,36.914938,"Level 2","Nairobi","Roysambu","Githurai","open","Medical Clinic","Private",7068,"CSV county does not match spatial county","Kiambu",FALSE
"Kiboswa medical clinic",-0.0240266,34.7465556,"Level 2","Vihiga","Hamisi","Tambua","open","Medical Clinic","Private",7078,"CSV county does not match spatial county","Kisumu",FALSE
"Mbulutini Dispensary",-2.1674341,37.6339088,"Level 2","Makueni","Kibwezi West","Nguu/Masumba","open","Dispensary","Government/Public Entity",7147,"CSV county does not match spatial county","Kajiado",FALSE
"Summit Medical Clinic (Chepilat)",-0.6945401,35.0700228,"Level 2","Kisii","Borabu","Mekenene","open","Nursing Home","Private",7267,"CSV county does not match spatial county","Bomet",FALSE
"Matagatani Dispensary",-0.1331267,37.8373717,"Level 2","Tharaka Nithi","Tharaka South","Chiakagira","open","Dispensary","Government/Public Entity",7275,"CSV county does not match spatial county","Meru",FALSE
"Gagaba Dispensary",3.5693435,39.7121381,"Level 2","Mandera","Mandera West","Gither","open","Dispensary","Government/Public Entity",7397,"CSV county does not match spatial county","Wajir",FALSE
"Njoguni Dispensary",0.0744433,37.97772,"Level 2","Tharaka Nithi","Tharaka North","Mukothima","open","Dispensary","Government/Public Entity",7575,"CSV county does not match spatial county","Meru",FALSE
"Mbagas Dispensary",1.6441496,37.3817291,"Level 2","Marsabit","Laisamis","Korr/Ngurunit","open","Dispensary","Government/Public Entity",7582,"CSV county does not match spatial county","Samburu",FALSE
"GLEMAX MEDICAL CLINIC",-1.292066,36.8219452,"Level 2","Kiambu","Githunguri","Githunguri","open","Medical Center","Private",8019,"CSV county does not match spatial county","Nairobi",FALSE
"Maryhill Medical Centre",0.0388957,36.3635371,"Level 2","Nakuru","Oljoroorok","Weru","open","Nursing Home","Private",8045,"CSV county does not match spatial county","Laikipia",FALSE
"Elephant Dental",-3.395653,37.6758046,"Level 2","Kiambu","Thika Town","Township","open","Medical Clinic","Private",8060,"CSV county does not match spatial county","Taita Taveta",FALSE
