"facility","latitude","longitude","keph_level","county","subcounty","ward","facility_status","facility_type","facility_owner",".original_row",".matched_county",".county_match"
"Mbiuni Health Centre",-1.2524371,37.4084861,"Level 3","Machakos","Mwala","Mbiuni","open","Health Center","Government/Public Entity",1332,"Machakos",TRUE
"Mbondoni Dispensary",-0.8393821,37.5457145,"Level 2","Embu","Mwea","Makima","open","Dispensary","Government/Public Entity",1333,"Embu",TRUE
"Mbonzuki Dispensary",-0.7914636,37.4317119,"Level 2","Embu","Mwea","Mwea","open","Dispensary","Government/Public Entity",1334,"Embu",TRUE
"Mbooni (AIC) Dispensary",-1.6588839,37.4539279,"Level 2","Makueni","Mbooni","Mbooni","open","Dispensary","Faith Based",1335,"Makueni",TRUE
"Mbusyani Dispensary",-1.5453817,37.9828143,"Level 2","Kitui","Kitui Rural","Kisasi","open","Dispensary","Government/Public Entity",1336,"Kitui",TRUE
"Kenya Methodist University Dispensary",0.0825062,37.6528222,"Level 2","Meru","Imenti North","Nyaki West","open","Dispensary","Faith Based",1337,"Meru",TRUE
"Miambani Health Centre",-1.2617456,38.1106909,"Level 3","Kitui","Kitui Central","Miambani","open","Health Center","Government/Public Entity",1338,"Kitui",TRUE
"Miangeni Dispensary (Mbooni)",-1.6178855,37.7594202,"Level 2","Makueni","Mbooni","Kalawa","open","Dispensary","Government/Public Entity",1339,"Makueni",TRUE
"Mbitini Health Centre",-1.5913473,38.1173692,"Level 3","Kitui","Kitui Rural","Mbitini","open","Health Center","Government/Public Entity",1340,"Kitui",TRUE
"Micii Mikuru Clinic",0.1863544,37.8534992,"Level 2","Meru","Tigania Central","Kinguchwa","open","Dispensary","Private",1341,"Meru",TRUE
"Milimani Nursing Home",0.0489744,37.6411871,"Level 3","Meru","Imenti North","Municipality","open","Nursing Home","Private",1342,"Meru",TRUE
"Minugu Dispensary",-0.3053951,37.628883,"Level 2","Tharaka Nithi","Muthambi","Mitheru","open","Dispensary","Faith Based",1343,"Tharaka Nithi",TRUE
"Landmark Dental And Maxillofacial Surgery Centre (Nairobi)",-1.2948526,36.8052257,"Level 3","Nairobi",NA,"Dagoretti","open","Medical Center","Private",1344,"Nairobi",TRUE
"Kannika International Ltd Dental Clinic (Kisumu)",-0.0988144,34.7505176,"Level 3","Kisumu",NA,"Railway","open","Medical Clinic","Private",1345,"Kisumu",TRUE
"Mitaboni Health Centre",-1.3722634,37.2483796,"Level 3","Machakos","Kathiani","Mitamboni","open","Health Center","Government/Public Entity",1346,"Machakos",TRUE
"Mitunguu CCS Dispensary",-0.1137906,37.787859,"Level 2","Meru","Imenti South","Mitunguu","open","Dispensary","Faith Based",1347,"Meru",TRUE
"Mitunguu Health Centre",-0.1057686,37.7813828,"Level 3","Meru","Imenti South","Mitunguu","open","Health Center","Government/Public Entity",1348,"Meru",TRUE
"Eyetech Medical Centre (Mandera)",3.9393067,41.8596625,"Level 3","Mandera",NA,"Neboi","open","Medical Center","Private",1349,"Mandera",TRUE
"Miu Health Centre",-1.5237797,37.577651,"Level 3","Machakos","Mwala","Muthetheni","open","Health Center","Government/Public Entity",1350,"Machakos",TRUE
"Miumbuni Dispensary",-1.3637525,37.2893001,"Level 2","Machakos","Kathiani","Mitamboni","open","Dispensary","Government/Public Entity",1351,"Machakos",TRUE
"Mivukoni Health Centre",-0.4087443,38.2419941,"Level 3","Kitui","Mwingi North","Kyuso","open","Health Center","Government/Public Entity",1352,"Kitui",TRUE
"Modogashe Dispensary",0.7249559,39.1693045,"Level 2","Isiolo","Garbatulla","Sericho","open","Dispensary","Government/Public Entity",1353,"Isiolo",TRUE
"Mosa Dispensary",-1.604002,38.052869,"Level 2","Kitui","Kitui Rural","Kisasi","open","Dispensary","Government/Public Entity",1354,"Kitui",TRUE
"Moyale Nursing Home",3.5211103,39.0598332,"Level 3","Marsabit","Moyale","Moyale Township","open","Nursing Home","Private",1355,"Marsabit",TRUE
"Mpukoni Health Centre",-0.3823512,37.6630249,"Level 3","Tharaka Nithi","Chuka","Magumoni","open","Health Center","Government/Public Entity",1356,"Tharaka Nithi",TRUE
"Mua Hills Dispensary",-1.4635836,37.1919797,"Level 2","Machakos","Machakos","Mua","open","Dispensary","Government/Public Entity",1357,"Machakos",TRUE
"Muchagori Dispensary",-0.4320895,37.4977792,"Level 2","Embu","Manyatta","Gaturi North","open","Dispensary","Government/Public Entity",1358,"Embu",TRUE
"Mufu Dispensary",-0.3960972,37.5885428,"Level 2","Embu","Runyenjes","Kyeni North","open","Dispensary","Government/Public Entity",1359,"Embu",TRUE
"Mugas Clinic",-0.0997733,38.0110533,"Level 2","Tharaka Nithi","Tharaka North","Gatunga","open","Medical Clinic","Private",1360,"Tharaka Nithi",TRUE
"Mugui Dispensary",-0.3621655,37.5005597,"Level 2","Embu","Runyenjes","Kagaari North","open","Dispensary","Government/Public Entity",1361,"Embu",TRUE
"Mui Dispensary",-1.1220787,38.2124459,"Level 2","Kitui","Mwingi Central","Mui","open","Dispensary","Government/Public Entity",1362,"Kitui",TRUE
"Mujwa Dispensary",-0.0730602,37.703029,"Level 2","Meru","Imenti Central","Kiagu","open","Dispensary","Faith Based",1363,"Meru",TRUE
"Mukui Health Centre",-0.2658596,37.7216377,"Level 3","Tharaka Nithi","Mwimbi","Ganga","open","Health Center","Government/Public Entity",1364,"Tharaka Nithi",TRUE
"Mukusu Dispensary",-0.9121452,37.6404536,"Level 2","Machakos","Masinga","Masinga Central","open","Dispensary","Government/Public Entity",1365,"Machakos",TRUE
"Mukuuni Dispensary",-0.391485,37.6519817,"Level 2","Tharaka Nithi","Chuka","Magumoni","open","Dispensary","Government/Public Entity",1366,"Tharaka Nithi",TRUE
"Ampo Medical Clinic (Laikipia)",0.0382711,36.3645086,"Level 2","Laikipia",NA,"Igwamiti","open","Medical Clinic","Private",1367,"Laikipia",TRUE
"Jefwa Medical Clinic (Kilifi)",-3.8121551,39.8110109,"Level 2","Kilifi",NA,"Junju","open","Medical Clinic","Private",1368,"Kilifi",TRUE
"Mukuuri Dispensary",-0.4071257,37.5452908,"Level 2","Embu","Runyenjes","Kagaari North","open","Dispensary","Government/Public Entity",1369,"Embu",TRUE
"Njewa Medical Clinic (Laikipia)",0.2172931,36.3154283,"Level 2","Laikipia",NA,"Marmanet","open","Medical Center","Private",1370,"Laikipia",TRUE
"Mulango (AIC) Health Centre",-1.4285073,38.0115436,"Level 3","Kitui","Kitui Central","Mulango","open","Health Center","Faith Based",1371,"Kitui",TRUE
"Mulundi Dispensary",-1.3703867,38.0508951,"Level 2","Kitui","Kitui Central","Kyangwithya East","open","Dispensary","Government/Public Entity",1372,"Kitui",TRUE
"Mulutu Mission Dispensary",-1.3523279,37.9501092,"Level 2","Kitui","Kitui Central","Kyangwithya West","open","Dispensary","Faith Based",1373,"Kitui",TRUE
"Mumbuni Dispensary (Maara)",-0.2793076,37.7414593,"Level 2","Tharaka Nithi","Muthambi","Muthambi","open","Dispensary","Government/Public Entity",1374,"Tharaka Nithi",TRUE
"Mumbuni Health Centre (Makueni)",-1.856084,37.6045559,"Level 3","Makueni","Makueni","Muvau/Kikumini","open","Health Center","Government/Public Entity",1375,"Makueni",TRUE
"Mumbuni Nursing Home",-0.9407475,38.0630631,"Level 3","Kitui","Mwingi Central","Central","open","Nursing Home","Private",1376,"Kitui",TRUE
"Mumoni Dispensary",-0.5430504,38.0017768,"Level 2","Kitui","Mwingi North","Mumoni","open","Dispensary","Government/Public Entity",1377,"Kitui",TRUE
"Muono Dispensary",-0.7791424,38.1910728,"Level 2","Kitui","Mwingi Central","Waita","open","Dispensary","Government/Public Entity",1378,"Kitui",TRUE
"Murambani Dispensary",-0.2803571,37.7049035,"Level 2","Tharaka Nithi","Muthambi","Muthambi","open","Dispensary","Faith Based",1379,"Tharaka Nithi",TRUE
"Muriri Clinic",0.2139736,37.7921796,"Level 2","Meru","Tigania East","Muthara","open","Medical Clinic","Private",1380,"Meru",TRUE
"Museve Dispensary",-1.3264721,38.0629075,"Level 2","Kitui","Kitui Central","Kyangwithya East","open","Dispensary","Government/Public Entity",1381,"Kitui",TRUE
"Mutembuku Dispensary",-1.6991083,37.8122567,"Level 2","Makueni","Mbooni","Kalawa","open","Dispensary","Government/Public Entity",1382,"Makueni",TRUE
"Mutethya Medical Clnic",-1.1455713,37.4940486,"Level 2","Machakos","Yatta","Kithimani","open","Medical Center","Private",1383,"Machakos",TRUE
"Mutha Health Centre",-1.7972016,38.4281749,"Level 3","Kitui","Kitui South","Mutha","open","Health Center","Government/Public Entity",1384,"Kitui",TRUE
"Muthambi Dispensary",-0.2736243,37.6617612,"Level 2","Tharaka Nithi","Muthambi","Muthambi","open","Dispensary","Faith Based",1385,"Tharaka Nithi",TRUE
"Muthambi Health Centre",-0.2747272,37.6605594,"Level 3","Tharaka Nithi","Muthambi","Muthambi","open","Health Center","Government/Public Entity",1386,"Tharaka Nithi",TRUE
"Muthanthara Dispensary",-0.4319421,37.897354,"Level 2","Embu","Mbeere North","Evurore","open","Dispensary","Government/Public Entity",1387,"Embu",TRUE
"Muthesya Dispensary",-0.9894856,37.3786461,"Level 2","Machakos","Masinga","Muthesya","open","Dispensary","Government/Public Entity",1388,"Machakos",TRUE
"Muthetheni Health Centre",-1.4909757,37.5047215,"Level 3","Machakos","Mwala","Muthetheni","open","Health Center","Government/Public Entity",1389,"Machakos",TRUE
"Muthetheni Mission Health Centre",-1.5046576,37.5224685,"Level 3","Machakos","Mwala","Muthetheni","open","Dispensary","Faith Based",1390,"Machakos",TRUE
