scenario,buffer_distance_m,admin_level,county,total_dog_population,covered_dog_population,uncovered_dog_population,coverage_pct,pct_of_country_dog_population,pct_of_total_buffer_population,uncovered_rural_dog_population,uncovered_urban_dog_population,pct_uncovered_population_rural,pct_uncovered_population_urban,uncovered_rural_pixel_count,uncovered_urban_pixel_count,coverage_class
1km,1000,county,Nairobi,649682.375,627301.125,22381.25,96.55504737988313,10.069515448096835,13.349624506572333,309.4067687988281,22071.837890625,1.3824373920081683,98.61753874616029,17017.33203125,15321.1904296875,≥70% coverage
1km,1000,county,Nandi,126661.2734375,90669.78125,35991.4921875,71.58445418183821,1.9631402953705241,1.9295478447939218,13901.6181640625,22089.875,38.62473412227846,61.37526859103638,105309.8046875,47476.5,≥70% coverage
1km,1000,county,Narok,113641.234375,37241.55078125,76399.68359375,32.77116003365306,1.7613409399937248,0.7925391796039469,58687.30078125,17712.3828125,76.8161568486535,23.183843151346494,1875294,56921.1796875,<50% coverage
1km,1000,county,Nyamira,94979.1484375,90287.7890625,4691.359375,95.06064283352983,1.4720947331201475,1.9214186512306723,1148.8758544921875,3542.484130859375,24.48918879705709,75.51082421306458,6272.4072265625,5602.607421875,≥70% coverage
1km,1000,county,Nyandarua,89094.9765625,48779.6875,40315.2890625,54.75021082224666,1.3808951533338414,1.0380828054037685,28169.85546875,12145.43359375,69.87387694300995,30.12612305699005,226963.890625,28733.955078125,50–69% coverage
1km,1000,county,Nyeri,106192.09375,79232.9609375,26959.1328125,74.6128625394958,1.6458856968089561,1.6861603381622157,11840.314453125,15118.818359375,43.919493017353524,56.08050698264647,239897.90625,26614.234375,≥70% coverage
1km,1000,county,Samburu,30456.810546875,11954.5615234375,18502.2490234375,39.250864777973575,0.4720542469718629,0.2544055814958214,16604.99609375,1897.25244140625,89.74582534650692,10.254172014455802,2410813.5,6525.18359375,<50% coverage
1km,1000,county,Siaya,164199.734375,113193.2578125,51006.4765625,68.93632212217152,2.5449540044278707,2.4088710003070855,10804.04296875,40170.94921875,21.181708082720498,78.75656568735373,61617.21875,72285.9765625,50–69% coverage
1km,1000,county,Taita Taveta,28379.4375,16054.6240234375,12324.8134765625,56.57132571227847,0.43985675971977634,0.3416592028383277,8932.56640625,3391.64990234375,72.4762806612581,27.518874089198075,1934123,8528.07421875,50–69% coverage
1km,1000,county,Tana River,30448.423828125,15290.0546875,15158.369140625,50.21624361841903,0.47192426007786414,0.3253883671308276,12601.5810546875,2556.786865234375,83.13282872175733,16.867163225244923,4526813,8767.158203125,50–69% coverage
1km,1000,county,Tharaka Nithi,53671.18359375,38484.16015625,15187.0234375,71.70358016984643,0.8318569705926024,0.8189832076847136,12973.9365234375,2213.0849609375,85.42777705473269,14.572210084781467,195322.78125,4905.0244140625,≥70% coverage
1km,1000,county,Trans Nzoia,141875.390625,91881.796875,49993.59375,64.76232168964292,2.1989459658701844,1.9553408058536499,10118.443359375,39875.140625,20.23947990211246,79.76050056413479,112750.4140625,69149.1796875,50–69% coverage
1km,1000,county,Turkana,88096.984375,34644.296875,53452.6875,39.325179086188214,1.3654271367524908,0.7372668980554868,39824.83203125,13612.1064453125,74.50482640606238,25.465710111044466,7150135.5,16329.4619140625,<50% coverage
1km,1000,county,Uasin Gishu,167697.234375,112942.65625,54754.578125,67.34914661588319,2.599162232378827,2.403537936764221,27215.55859375,27539.0234375,49.70462658230919,50.295380551797464,184973.53125,56859.046875,50–69% coverage
1km,1000,county,Vihiga,92844.1875,88839.859375,4004.328125,95.68704489443671,1.439004683322753,1.8906051920007951,45.481510162353516,3958.846435546875,1.135808773471917,98.86418674910351,3032.552734375,3743.765869140625,≥70% coverage
1km,1000,county,Wajir,63336.50390625,29744.087890625,33592.416015625,46.961998304566784,0.9816610840219113,0.6329853220498032,31177.208984375,2415.208251953125,92.8102610121088,7.189742621756434,6586684.5,7918.12158203125,<50% coverage
1km,1000,county,West Pokot,89102.3828125,31180.3203125,57922.0625,34.99381198156439,1.3810099438093988,0.6635498512242028,49932.76953125,7988.04638671875,86.20682236798802,13.791025460667514,967103.125,19359.265625,<50% coverage
1km,1000,county,Nakuru,314750.09375,212824.078125,101926.015625,67.61684344216339,4.8783544902315565,4.529119135448967,39362.37109375,62561.46875,38.618571374917316,61.379293957856994,508281,127866.8828125,50–69% coverage
3km,3000,county,Baringo,93716.5,84971.171875,8745.328125,90.66831547806416,1.4525247733426154,1.373207548076954,8716.7392578125,28.02993392944336,99.6730955456574,0.3205132332235202,551652.9375,114.88079833984375,≥70% coverage
3km,3000,county,Bomet,125416.1328125,125234.421875,181.7109375,99.85511358592785,1.9438416915589456,2.0238964533852806,164.78839111328125,16.917654037475586,90.68710633518208,9.310201284650566,41119.8984375,24.35344696044922,≥70% coverage
3km,3000,county,Bungoma,272423.71875,272010.34375,413.375,99.84826027561155,4.222332250249382,4.3959221574818015,413.3949279785156,0,100.00482079915709,0,62351.18359375,0,≥70% coverage
3km,3000,county,Busia,146334.09375,146314.859375,19.234375,99.98685584848542,2.2680520117216902,2.364574535763022,19.24310874938965,0,100.04540698301685,0,1808.351318359375,0,≥70% coverage
3km,3000,county,Elgeyo Marakwet,63293.3359375,62906.46875,386.8671875,99.38877105816951,0.9809920178059915,1.0166228828460186,386.8665771484375,0,99.99984223227449,0,52314.06640625,0,≥70% coverage
3km,3000,county,Embu,86465.2265625,86201.8125,263.4140625,99.69535260245968,1.3401363005950202,1.3930957637850552,263.1786193847656,0,99.91061862339473,0,27422.8203125,0,≥70% coverage
3km,3000,county,Garissa,73466.1171875,52891.55078125,20574.56640625,71.99448236288349,1.1386613372899699,0.8547731561141074,19909.40234375,665.16229248046875,96.767056717667,3.2329346793836216,4880008.5,1724.8370361328125,≥70% coverage
3km,3000,county,Homa Bay,180522.703125,180463.359375,59.34375,99.96712671094953,2.7979459160322557,2.9164437982522995,59.357086181640625,0,100.02247276527119,0,7361.7451171875,0,≥70% coverage
3km,3000,county,Isiolo,41265.9375,31029.69921875,10236.23828125,75.19446085224648,0.6395863750135572,0.5014667473861418,10236.240234375,0,100.00001908049565,0,2809764.75,0,≥70% coverage
3km,3000,county,Kajiado,111383.40625,96345.4140625,15037.9921875,86.4988936020261,1.726346554954674,1.557025128567753,14536.8779296875,499.7284240722656,96.66767842698415,3.3231060226753804,1687496.625,1443.3487548828125,≥70% coverage
3km,3000,county,Kakamega,300667.1875,300663.15625,4.03125,99.99865923181258,4.660081611829284,4.85897636198913,4.03187894821167,0,100.01560181610346,0,8230.251953125,0,≥70% coverage
3km,3000,county,Kericho,127337.0859375,127256.671875,80.4140625,99.93684945598686,1.973614805178131,2.0565777605018143,62.91114044189453,17.49859046936035,78.2340034641261,21.760609929837024,29810.615234375,77.49236297607422,≥70% coverage
